task_id,correct_answer,llm_answer,llm_response,matched
Ops planning - January,10.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Ops planning - January<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
Commissioning planning - January,12.0,1,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Commissioning planning - January<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 1<|eot_id|>",False
DM-wide replanning - January,60.0,10,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
DM-wide replanning - January<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 10<|eot_id|>",False
migrate squash production DB to MariaDB 10.1.x,0.5,4,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
migrate squash production DB to MariaDB 10.1.x<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 4<|eot_id|>",False
purge unused jenkins plugins / fully manage all plugins,2.333,2,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
purge unused jenkins plugins / fully manage all plugins<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 2<|eot_id|>",False
jenkins master unstable,2.5,0,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
jenkins master unstable<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 0<|eot_id|>",False
Remove dependency on CAT package and make database setup optional,4.0,6,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Remove dependency on CAT package and make database setup optional<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 6<|eot_id|>",False
ctrl_stats fails tests in 2017,1.0,1,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
ctrl_stats fails tests in 2017<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 1<|eot_id|>",False
ctrl_stats doesn't calculate year to next year progress properly,8.0,1,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
ctrl_stats doesn't calculate year to next year progress properly<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 1<|eot_id|>",False
Use an existing qserv_run_dir with a new Qserv instance/binary,4.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Use an existing qserv_run_dir with a new Qserv instance/binary<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
evaluate creation / installation of eups distrib 'tarball' packages,1.3330000000000002,4,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
evaluate creation / installation of eups distrib 'tarball' packages<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 4<|eot_id|>",False
Add TE1 and TE2 KPMs to validate_drp using code developed in DM-3040,10.0,8,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Add TE1 and TE2 KPMs to validate_drp using code developed in DM-3040<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 8<|eot_id|>",False
Plot the data flow of a jointcal example,3.0,6,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Plot the data flow of a jointcal example<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 6<|eot_id|>",False
Plan Prototype Warped Image Comparision,10.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Plan Prototype Warped Image Comparision<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
Update developer guide to describe package build directory,1.0,1,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Update developer guide to describe package build directory<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 1<|eot_id|>",False
Update eupspkg to support _build/ directory,4.0,1,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Update eupspkg to support _build/ directory<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 1<|eot_id|>",False
Update existing packages to reflect _build/ directory and .gitignore entries,2.0,0,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Update existing packages to reflect _build/ directory and.gitignore entries<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 0<|eot_id|>",False
Original plot does not abort and over writes active plot,5.0,2,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Original plot does not abort and over writes active plot<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 2<|eot_id|>",False
Change warpImage and warpExposure to take shared_ptrs,2.0,1,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Change warpImage and warpExposure to take shared_ptrs<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 1<|eot_id|>",False
Create NMF deblender plugin,16.0,8,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Create NMF deblender plugin<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 8<|eot_id|>",False
fix lsst-sims installation instructions on pipelines.lsst.io,0.2,0,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
fix lsst-sims installation instructions on pipelines.lsst.io<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 0<|eot_id|>",False
Set darktime in makeRawVisitInfo,0.5,1,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Set darktime in makeRawVisitInfo<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 1<|eot_id|>",False
Update singleFrameDriver following changes to reference catalogs,0.5,2,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Update singleFrameDriver following changes to reference catalogs<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 2<|eot_id|>",False
Extend Alert Production prototype with new index type,8.0,4,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Extend Alert Production prototype with new index type<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 4<|eot_id|>",False
Performance plots with AP prototype on SSD,4.0,8,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Performance plots with AP prototype on SSD<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 8<|eot_id|>",False
Documenting using emoji reactions in GitHub code reviews,0.5,0,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Documenting using emoji reactions in GitHub code reviews<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 0<|eot_id|>",False
Create deprecation decorator and doc update,4.0,1,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Create deprecation decorator and doc update<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 1<|eot_id|>",False
Add deprecation procedure to dev guide,1.0,1,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Add deprecation procedure to dev guide<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 1<|eot_id|>",False
Small bug in describing the usesimplePsf config var for charImgTask ,1.0,0,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Small bug in describing the usesimplePsf config var for charImgTask <|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 0<|eot_id|>",False
Create cookiecutter template for api.lsst.codes microservices,3.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Create cookiecutter template for api.lsst.codes microservices<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
obs_cfht table file uses envAppend,1.0,1,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
obs_cfht table file uses envAppend<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 1<|eot_id|>",False
Wrap new Footprints with pybind11 and create python unit test,8.0,5,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Wrap new Footprints with pybind11 and create python unit test<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 5<|eot_id|>",False
evaluate creation / installation of eups distrib 'tarball' packages #2,3.25,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
evaluate creation / installation of eups distrib 'tarball' packages #2<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
Implement bokeh apps helper methods to read data from the SQUASH API,6.4,4,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Implement bokeh apps helper methods to read data from the SQUASH API<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 4<|eot_id|>",False
BaseSourceSelector._isBad() should use Keys instead of string fields,2.0,1,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
BaseSourceSelector._isBad() should use Keys instead of string fields<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 1<|eot_id|>",False
writing jointcal output is slow due to dataRef lookup,2.0,6,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
writing jointcal output is slow due to dataRef lookup<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 6<|eot_id|>",False
unset BASH_ENV in newinstall.sh or surrounding instructions,1.0,0,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
unset BASH_ENV in newinstall.sh or surrounding instructions<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 0<|eot_id|>",False
Revise Python Style Guide for RFC-107 (79 character docstring lengths),1.0,0,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Revise Python Style Guide for RFC-107 (79 character docstring lengths)<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 0<|eot_id|>",False
Incorrect binning in overscan spline interpolation,0.5,4,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Incorrect binning in overscan spline interpolation<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 4<|eot_id|>",False
Delete Crop.java and CropTest.java ,0.2,1,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Delete Crop.java and CropTest.java <|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 1<|eot_id|>",False
Automatic Mask overlays,10.0,6,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Automatic Mask overlays<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 6<|eot_id|>",False
Test/implement which badFlags are appropriate for matcherSourceSelector,4.0,2,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Test/implement which badFlags are appropriate for matcherSourceSelector<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 2<|eot_id|>",False
Transfer content from SWUG pages to PLI (pipelines.lsst.io),10.0,5,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Transfer content from SWUG pages to PLI (pipelines.lsst.io)<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 5<|eot_id|>",False
SQL constraint catalog search doesn't work,4.0,2,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
SQL constraint catalog search doesn't work<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 2<|eot_id|>",False
wmgr database connection leak,2.0,2,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
wmgr database connection leak<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 2<|eot_id|>",False
Fix plotAMx display of spec,0.1,1,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Fix plotAMx display of spec<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 1<|eot_id|>",False
Bootstrapper microservice,8.0,14,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Bootstrapper microservice<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 14<|eot_id|>",False
Rebase pybind11 branch onto latest master,2.0,2,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Rebase pybind11 branch onto latest master<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 2<|eot_id|>",False
Open up LSST software mailing lists,1.0,0,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Open up LSST software mailing lists<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 0<|eot_id|>",False
Publish Winter 2014 binaries,3.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Publish Winter 2014 binaries<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
Update PhoSim tutorial to use CatSim for creating instance catalogs,2.0,4,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Update PhoSim tutorial to use CatSim for creating instance catalogs<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 4<|eot_id|>",False
